UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
181,2023-09-17,金門縣,全區,90.40,87.10,0.60,76.10,18.90,0.00,0.00,0.00
182,2023-09-17,金門縣,6個月-4歲,37.90,24.30,4.90,0.30,0.00,0.00,0.00,0.00
183,2023-09-17,金門縣,5-11歲,81.50,64.60,0.70,19.20,0.30,0.00,0.00,0.00
184,2023-09-17,金門縣,12-17歲,93.40,86.00,0.10,64.80,14.10,0.00,0.00,0.00
185,2023-09-17,金門縣,18-29歲,96.20,94.00,0.30,84.60,12.20,0.00,0.00,0.00
186,2023-09-17,金門縣,30-49歲,94.10,91.90,0.40,83.50,17.40,0.00,0.00,0.00
187,2023-09-17,金門縣,50-64歲,90.70,88.50,0.50,79.90,21.70,0.00,0.00,0.00
188,2023-09-17,金門縣,65-74歲,91.60,89.60,0.70,81.50,33.60,8.60,0.00,0.00
189,2023-09-17,金門縣,75歲以上,81.80,77.30,0.70,66.10,29.00,6.10,0.00,0.00
436,2023-09-10,金門縣,全區,90.30,87.00,0.60,76.00,18.80,0.00,0.00,0.00
437,2023-09-10,金門縣,6個月-4歲,38.20,24.40,4.90,0.30,0.00,0.00,0.00,0.00
438,2023-09-10,金門縣,5-11歲,81.70,64.70,0.70,19.30,0.30,0.00,0.00,0.00
439,2023-09-10,金門縣,12-17歲,93.20,86.00,0.10,64.90,14.20,0.00,0.00,0.00
440,2023-09-10,金門縣,18-29歲,95.80,93.70,0.30,84.30,12.00,0.00,0.00,0.00
441,2023-09-10,金門縣,30-49歲,94.10,91.90,0.40,83.50,17.40,0.00,0.00,0.00
442,2023-09-10,金門縣,50-64歲,90.70,88.50,0.50,79.90,21.60,0.00,0.00,0.00
443,2023-09-10,金門縣,65-74歲,91.50,89.50,0.70,81.50,33.60,8.60,0.00,0.00
444,2023-09-10,金門縣,75歲以上,81.60,77.20,0.70,66.00,28.90,6.10,0.00,0.00
691,2023-09-03,金門縣,全區,90.30,87.00,0.60,76.00,18.80,0.00,0.00,0.00
692,2023-09-03,金門縣,6個月-4歲,38.30,24.60,4.90,0.30,0.00,0.00,0.00,0.00
693,2023-09-03,金門縣,5-11歲,81.80,64.80,0.70,19.40,0.30,0.00,0.00,0.00
694,2023-09-03,金門縣,12-17歲,93.50,86.30,0.10,65.30,14.30,0.00,0.00,0.00
695,2023-09-03,金門縣,18-29歲,95.80,93.70,0.30,84.30,12.00,0.00,0.00,0.00
696,2023-09-03,金門縣,30-49歲,94.10,91.80,0.40,83.40,17.40,0.00,0.00,0.00
697,2023-09-03,金門縣,50-64歲,90.70,88.50,0.50,79.90,21.60,0.00,0.00,0.00
698,2023-09-03,金門縣,65-74歲,91.30,89.30,0.70,81.30,33.50,8.60,0.00,0.00
699,2023-09-03,金門縣,75歲以上,81.50,77.10,0.70,65.90,28.90,6.10,0.00,0.00
946,2023-08-27,金門縣,全區,90.30,87.00,0.60,76.00,18.80,0.00,0.00,0.00
947,2023-08-27,金門縣,6個月-4歲,38.40,24.60,4.90,0.20,0.00,0.00,0.00,0.00
948,2023-08-27,金門縣,5-11歲,82.20,65.20,0.60,19.50,0.30,0.00,0.00,0.00
949,2023-08-27,金門縣,12-17歲,93.30,86.10,0.10,65.50,14.40,0.00,0.00,0.00
950,2023-08-27,金門縣,18-29歲,95.90,93.80,0.30,84.40,12.00,0.00,0.00,0.00
951,2023-08-27,金門縣,30-49歲,94.10,91.90,0.40,83.40,17.40,0.00,0.00,0.00
952,2023-08-27,金門縣,50-64歲,90.60,88.50,0.50,79.90,21.60,0.00,0.00,0.00
953,2023-08-27,金門縣,65-74歲,91.10,89.10,0.70,81.20,33.50,8.60,0.00,0.00
954,2023-08-27,金門縣,75歲以上,81.40,77.00,0.70,65.80,28.80,6.10,0.00,0.00
1201,2023-08-20,金門縣,全區,90.40,87.10,0.60,76.10,18.80,0.00,0.00,0.00
1202,2023-08-20,金門縣,6個月-4歲,38.20,24.50,4.90,0.20,0.00,0.00,0.00,0.00
1203,2023-08-20,金門縣,5-11歲,83.20,66.00,0.60,19.80,0.20,0.00,0.00,0.00
1204,2023-08-20,金門縣,12-17歲,94.60,87.30,0.10,66.60,14.60,0.00,0.00,0.00
1205,2023-08-20,金門縣,18-29歲,95.60,93.50,0.30,84.10,12.00,0.00,0.00,0.00
1206,2023-08-20,金門縣,30-49歲,94.20,91.90,0.40,83.50,17.40,0.00,0.00,0.00
1207,2023-08-20,金門縣,50-64歲,90.70,88.50,0.50,79.90,21.60,0.00,0.00,0.00
1208,2023-08-20,金門縣,65-74歲,91.80,89.80,0.70,81.70,33.80,8.60,0.00,0.00
1209,2023-08-20,金門縣,75歲以上,81.50,77.10,0.70,65.80,28.90,6.10,0.00,0.00
1456,2023-08-13,金門縣,全區,90.40,87.10,0.60,76.10,18.80,0.00,0.00,0.00
1457,2023-08-13,金門縣,6個月-4歲,38.40,24.60,5.00,0.30,0.00,0.00,0.00,0.00
1458,2023-08-13,金門縣,5-11歲,83.30,66.10,0.70,19.80,0.20,0.00,0.00,0.00
1459,2023-08-13,金門縣,12-17歲,94.50,87.30,0.10,66.60,14.60,0.00,0.00,0.00
1460,2023-08-13,金門縣,18-29歲,95.70,93.60,0.30,84.20,12.00,0.00,0.00,0.00
1461,2023-08-13,金門縣,30-49歲,94.10,91.80,0.40,83.40,17.40,0.00,0.00,0.00
1462,2023-08-13,金門縣,50-64歲,90.60,88.50,0.50,79.90,21.60,0.00,0.00,0.00
1463,2023-08-13,金門縣,65-74歲,91.60,89.60,0.70,81.60,33.70,8.60,0.00,0.00
1464,2023-08-13,金門縣,75歲以上,81.40,77.00,0.70,65.80,28.80,6.10,0.00,0.00
1711,2023-08-06,金門縣,全區,90.40,87.10,0.60,76.00,18.80,0.00,0.00,0.00
1712,2023-08-06,金門縣,6個月-4歲,38.80,24.70,5.00,0.30,0.00,0.00,0.00,0.00
1713,2023-08-06,金門縣,5-11歲,83.40,66.30,0.60,19.80,0.20,0.00,0.00,0.00
1714,2023-08-06,金門縣,12-17歲,94.20,87.00,0.10,66.60,14.60,0.00,0.00,0.00
1715,2023-08-06,金門縣,18-29歲,95.90,93.80,0.30,84.40,12.00,0.00,0.00,0.00
1716,2023-08-06,金門縣,30-49歲,94.00,91.70,0.40,83.30,17.30,0.00,0.00,0.00
1717,2023-08-06,金門縣,50-64歲,90.70,88.50,0.50,79.90,21.70,0.00,0.00,0.00
1718,2023-08-06,金門縣,65-74歲,91.60,89.60,0.70,81.50,33.70,8.60,0.00,0.00
1719,2023-08-06,金門縣,75歲以上,81.30,76.80,0.70,65.70,28.80,6.00,0.00,0.00
1966,2023-07-30,金門縣,全區,90.40,87.10,0.60,76.10,18.80,0.00,0.00,0.00
1967,2023-07-30,金門縣,6個月-4歲,39.20,24.90,5.00,0.30,0.00,0.00,0.00,0.00
1968,2023-07-30,金門縣,5-11歲,83.20,66.20,0.60,19.80,0.20,0.00,0.00,0.00
1969,2023-07-30,金門縣,12-17歲,94.20,87.10,0.10,66.70,14.70,0.00,0.00,0.00
1970,2023-07-30,金門縣,18-29歲,96.10,93.90,0.30,84.60,12.00,0.00,0.00,0.00
1971,2023-07-30,金門縣,30-49歲,94.00,91.70,0.40,83.30,17.40,0.00,0.00,0.00
1972,2023-07-30,金門縣,50-64歲,90.70,88.60,0.50,79.90,21.70,0.00,0.00,0.00
1973,2023-07-30,金門縣,65-74歲,91.50,89.40,0.70,81.40,33.70,8.60,0.00,0.00
1974,2023-07-30,金門縣,75歲以上,81.10,76.70,0.70,65.50,28.70,6.00,0.00,0.00
2221,2023-07-23,金門縣,全區,90.40,87.10,0.60,76.10,18.80,0.00,0.00,0.00
2222,2023-07-23,金門縣,6個月-4歲,39.50,25.10,4.90,0.30,0.00,0.00,0.00,0.00
2223,2023-07-23,金門縣,5-11歲,83.20,66.20,0.60,19.80,0.20,0.00,0.00,0.00
