UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
1805,2023-03-20,屏東縣,麟洛鄉,70+,393
1806,2023-03-20,屏東縣,麟洛鄉,40-44,316
1807,2023-03-18,屏東縣,麟洛鄉,20-24,258
1808,2023-03-16,屏東縣,麟洛鄉,65-69,223
1809,2023-03-16,屏東縣,麟洛鄉,25-29,337
1810,2023-03-16,屏東縣,麟洛鄉,10-14,182
1811,2023-03-16,屏東縣,麟洛鄉,55-59,251
1812,2023-03-16,屏東縣,麟洛鄉,50-54,266
1813,2023-03-16,屏東縣,麟洛鄉,15-19,176
1814,2023-03-14,屏東縣,麟洛鄉,60-64,278
1815,2023-03-13,屏東縣,麟洛鄉,30-34,310
1816,2023-03-13,屏東縣,麟洛鄉,45-49,248
1817,2023-03-13,屏東縣,麟洛鄉,35-39,293
1818,2023-03-09,屏東縣,麟洛鄉,5-9,173
1819,2023-03-08,屏東縣,麟洛鄉,0,22
1820,2023-02-24,屏東縣,麟洛鄉,2,28
1821,2023-02-16,屏東縣,麟洛鄉,4,28
1822,2023-02-14,屏東縣,麟洛鄉,1,29
1823,2023-02-09,屏東縣,麟洛鄉,3,34
