UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
2052,2023-06-14,基隆市,信義區,55-59,1867
2053,2023-06-14,基隆市,信義區,30-34,2433
2054,2023-06-14,基隆市,信義區,50-54,1940
2055,2023-03-21,基隆市,信義區,25-29,2375
2056,2023-03-20,基隆市,信義區,65-69,1337
2057,2023-03-20,基隆市,信義區,40-44,2510
2058,2023-03-20,基隆市,信義區,35-39,2451
2059,2023-03-20,基隆市,信義區,45-49,2085
2060,2023-03-19,基隆市,信義區,20-24,1894
2061,2023-03-19,基隆市,信義區,10-14,1192
2062,2023-03-19,基隆市,信義區,60-64,1703
2063,2023-03-19,基隆市,信義區,5-9,1359
2064,2023-03-19,基隆市,信義區,70+,2005
2065,2023-03-17,基隆市,信義區,15-19,1394
2066,2023-03-16,基隆市,信義區,2,197
2067,2023-03-16,基隆市,信義區,3,211
2068,2023-03-12,基隆市,信義區,4,246
2069,2023-03-08,基隆市,信義區,1,224
2070,2023-03-05,基隆市,信義區,0,171
