UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
136,2023-09-17,嘉義縣,全區,90.00,85.90,1.00,74.50,23.90,0.00,0.00,0.00
137,2023-09-17,嘉義縣,6個月-4歲,39.90,24.80,2.60,0.50,0.00,0.00,0.00,0.00
138,2023-09-17,嘉義縣,5-11歲,85.90,68.40,0.30,25.80,0.40,0.00,0.00,0.00
139,2023-09-17,嘉義縣,12-17歲,95.10,88.70,0.10,68.20,14.40,0.00,0.00,0.00
140,2023-09-17,嘉義縣,18-29歲,96.50,93.30,0.50,81.00,12.00,0.00,0.00,0.00
141,2023-09-17,嘉義縣,30-49歲,93.10,89.60,0.80,79.70,17.40,0.00,0.00,0.00
142,2023-09-17,嘉義縣,50-64歲,90.20,87.30,1.30,78.90,27.10,0.00,0.00,0.00
143,2023-09-17,嘉義縣,65-74歲,91.10,88.80,1.50,82.70,47.10,14.00,0.00,0.00
144,2023-09-17,嘉義縣,75歲以上,82.80,79.00,1.20,71.10,42.80,13.10,0.00,0.00
391,2023-09-10,嘉義縣,全區,90.00,85.90,1.00,74.50,23.90,0.00,0.00,0.00
392,2023-09-10,嘉義縣,6個月-4歲,40.10,24.80,2.60,0.50,0.00,0.00,0.00,0.00
393,2023-09-10,嘉義縣,5-11歲,86.00,68.50,0.30,25.90,0.40,0.00,0.00,0.00
394,2023-09-10,嘉義縣,12-17歲,95.30,88.90,0.10,68.50,14.50,0.00,0.00,0.00
395,2023-09-10,嘉義縣,18-29歲,96.60,93.40,0.50,81.10,12.10,0.00,0.00,0.00
396,2023-09-10,嘉義縣,30-49歲,93.10,89.60,0.80,79.70,17.40,0.00,0.00,0.00
397,2023-09-10,嘉義縣,50-64歲,90.20,87.30,1.30,78.90,27.10,0.00,0.00,0.00
398,2023-09-10,嘉義縣,65-74歲,91.00,88.70,1.50,82.60,47.20,13.90,0.00,0.00
399,2023-09-10,嘉義縣,75歲以上,82.80,78.90,1.20,71.00,42.70,13.10,0.00,0.00
646,2023-09-03,嘉義縣,全區,90.10,85.90,1.00,74.50,23.90,0.00,0.00,0.00
647,2023-09-03,嘉義縣,6個月-4歲,40.40,25.00,2.60,0.50,0.00,0.00,0.00,0.00
648,2023-09-03,嘉義縣,5-11歲,86.10,68.70,0.30,26.00,0.40,0.00,0.00,0.00
649,2023-09-03,嘉義縣,12-17歲,95.30,89.00,0.10,68.60,14.50,0.00,0.00,0.00
650,2023-09-03,嘉義縣,18-29歲,96.70,93.50,0.50,81.10,12.10,0.00,0.00,0.00
651,2023-09-03,嘉義縣,30-49歲,93.10,89.60,0.80,79.70,17.40,0.00,0.00,0.00
652,2023-09-03,嘉義縣,50-64歲,90.20,87.30,1.30,78.90,27.10,0.00,0.00,0.00
653,2023-09-03,嘉義縣,65-74歲,91.00,88.60,1.50,82.60,47.20,14.00,0.00,0.00
654,2023-09-03,嘉義縣,75歲以上,82.70,78.90,1.20,70.90,42.60,13.00,0.00,0.00
901,2023-08-27,嘉義縣,全區,90.10,85.90,1.00,74.50,23.90,0.00,0.00,0.00
902,2023-08-27,嘉義縣,6個月-4歲,40.70,25.20,2.50,0.50,0.00,0.00,0.00,0.00
903,2023-08-27,嘉義縣,5-11歲,86.30,68.90,0.30,26.10,0.40,0.00,0.00,0.00
