UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
5492,2023-03-21,彰化縣,埤頭鄉,60-64,444
5493,2023-03-21,彰化縣,埤頭鄉,25-29,735
5494,2023-03-19,彰化縣,埤頭鄉,40-44,828
5495,2023-03-19,彰化縣,埤頭鄉,70+,860
5496,2023-03-19,彰化縣,埤頭鄉,20-24,668
5497,2023-03-18,彰化縣,埤頭鄉,50-54,520
5498,2023-03-17,彰化縣,埤頭鄉,45-49,617
5499,2023-03-17,彰化縣,埤頭鄉,15-19,663
5500,2023-03-17,彰化縣,埤頭鄉,55-59,497
5501,2023-03-15,彰化縣,埤頭鄉,35-39,761
5502,2023-03-15,彰化縣,埤頭鄉,10-14,560
5503,2023-03-14,彰化縣,埤頭鄉,3,100
5504,2023-03-14,彰化縣,埤頭鄉,5-9,606
5505,2023-03-14,彰化縣,埤頭鄉,4,117
5506,2023-03-11,彰化縣,埤頭鄉,65-69,388
5507,2023-03-11,彰化縣,埤頭鄉,0,69
5508,2023-03-11,彰化縣,埤頭鄉,30-34,670
5509,2023-03-07,彰化縣,埤頭鄉,1,104
5510,2023-02-21,彰化縣,埤頭鄉,2,100
