UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
145,2023-09-17,花蓮縣,全區,87.80,82.80,1.70,69.10,20.20,0.00,0.00,0.00
146,2023-09-17,花蓮縣,6個月-4歲,32.00,17.60,3.30,0.50,0.00,0.00,0.00,0.00
147,2023-09-17,花蓮縣,5-11歲,83.20,69.30,0.30,32.70,0.20,0.00,0.00,0.00
148,2023-09-17,花蓮縣,12-17歲,94.60,89.50,0.10,70.10,23.90,0.00,0.00,0.00
149,2023-09-17,花蓮縣,18-29歲,95.50,91.00,1.70,75.80,13.60,0.00,0.00,0.00
150,2023-09-17,花蓮縣,30-49歲,91.90,87.50,2.00,75.10,17.40,0.00,0.00,0.00
151,2023-09-17,花蓮縣,50-64歲,88.30,84.50,2.00,73.60,23.10,0.00,0.00,0.00
152,2023-09-17,花蓮縣,65-74歲,87.80,85.00,1.80,75.50,34.90,9.30,0.00,0.00
153,2023-09-17,花蓮縣,75歲以上,79.60,75.20,1.90,65.10,33.30,9.10,0.00,0.00
400,2023-09-10,花蓮縣,全區,87.80,82.90,1.70,69.10,20.20,0.00,0.00,0.00
401,2023-09-10,花蓮縣,6個月-4歲,32.30,17.70,3.30,0.50,0.00,0.00,0.00,0.00
402,2023-09-10,花蓮縣,5-11歲,83.40,69.50,0.20,32.90,0.20,0.00,0.00,0.00
403,2023-09-10,花蓮縣,12-17歲,94.60,89.50,0.10,70.20,24.10,0.00,0.00,0.00
404,2023-09-10,花蓮縣,18-29歲,95.60,91.10,1.70,75.90,13.60,0.00,0.00,0.00
405,2023-09-10,花蓮縣,30-49歲,91.90,87.50,2.00,75.10,17.40,0.00,0.00,0.00
406,2023-09-10,花蓮縣,50-64歲,88.30,84.50,2.00,73.60,23.10,0.00,0.00,0.00
407,2023-09-10,花蓮縣,65-74歲,87.70,84.90,1.80,75.50,34.90,9.30,0.00,0.00
408,2023-09-10,花蓮縣,75歲以上,79.50,75.10,1.90,65.00,33.30,9.10,0.00,0.00
655,2023-09-03,花蓮縣,全區,87.80,82.90,1.70,69.10,20.20,0.00,0.00,0.00
656,2023-09-03,花蓮縣,6個月-4歲,32.50,17.80,3.30,0.50,0.00,0.00,0.00,0.00
657,2023-09-03,花蓮縣,5-11歲,83.60,69.70,0.20,33.00,0.20,0.00,0.00,0.00
658,2023-09-03,花蓮縣,12-17歲,94.70,89.60,0.10,70.40,24.20,0.00,0.00,0.00
659,2023-09-03,花蓮縣,18-29歲,95.60,91.10,1.70,75.90,13.50,0.00,0.00,0.00
660,2023-09-03,花蓮縣,30-49歲,91.90,87.60,2.00,75.20,17.50,0.00,0.00,0.00
661,2023-09-03,花蓮縣,50-64歲,88.30,84.50,2.00,73.60,23.10,0.00,0.00,0.00
662,2023-09-03,花蓮縣,65-74歲,87.70,84.80,1.80,75.40,34.90,9.30,0.00,0.00
663,2023-09-03,花蓮縣,75歲以上,79.50,75.10,1.90,65.00,33.20,9.10,0.00,0.00
910,2023-08-27,花蓮縣,全區,87.80,82.90,1.70,69.10,20.20,0.00,0.00,0.00
911,2023-08-27,花蓮縣,6個月-4歲,32.70,17.90,3.30,0.50,0.00,0.00,0.00,0.00
912,2023-08-27,花蓮縣,5-11歲,83.60,69.80,0.20,33.10,0.20,0.00,0.00,0.00
913,2023-08-27,花蓮縣,12-17歲,94.80,89.80,0.10,70.50,24.30,0.00,0.00,0.00
914,2023-08-27,花蓮縣,18-29歲,95.70,91.20,1.70,75.90,13.50,0.00,0.00,0.00
915,2023-08-27,花蓮縣,30-49歲,91.90,87.60,2.00,75.20,17.50,0.00,0.00,0.00
916,2023-08-27,花蓮縣,50-64歲,88.40,84.60,2.00,73.60,23.10,0.00,0.00,0.00
917,2023-08-27,花蓮縣,65-74歲,87.60,84.70,1.80,75.30,34.90,9.30,0.00,0.00
918,2023-08-27,花蓮縣,75歲以上,79.40,75.00,1.90,64.90,33.20,9.10,0.00,0.00
1165,2023-08-20,花蓮縣,全區,87.80,82.90,1.70,69.10,20.20,0.00,0.00,0.00
1166,2023-08-20,花蓮縣,6個月-4歲,32.80,17.90,3.30,0.50,0.00,0.00,0.00,0.00
1167,2023-08-20,花蓮縣,5-11歲,83.90,70.10,0.20,33.30,0.20,0.00,0.00,0.00
1168,2023-08-20,花蓮縣,12-17歲,94.90,89.90,0.10,70.70,24.40,0.00,0.00,0.00
1169,2023-08-20,花蓮縣,18-29歲,95.40,90.90,1.70,75.70,13.50,0.00,0.00,0.00
1170,2023-08-20,花蓮縣,30-49歲,91.90,87.50,2.00,75.10,17.50,0.00,0.00,0.00
1171,2023-08-20,花蓮縣,50-64歲,88.40,84.60,2.00,73.60,23.10,0.00,0.00,0.00
1172,2023-08-20,花蓮縣,65-74歲,87.80,85.00,1.80,75.50,35.00,9.30,0.00,0.00
1173,2023-08-20,花蓮縣,75歲以上,79.30,75.00,1.90,64.80,33.10,9.10,0.00,0.00
1420,2023-08-13,花蓮縣,全區,87.80,82.90,1.70,69.10,20.20,0.00,0.00,0.00
1421,2023-08-13,花蓮縣,6個月-4歲,33.10,18.00,3.30,0.50,0.00,0.00,0.00,0.00
1422,2023-08-13,花蓮縣,5-11歲,83.90,70.20,0.20,33.50,0.20,0.00,0.00,0.00
1423,2023-08-13,花蓮縣,12-17歲,94.90,90.00,0.10,70.80,24.50,0.00,0.00,0.00
1424,2023-08-13,花蓮縣,18-29歲,95.50,91.00,1.70,75.80,13.50,0.00,0.00,0.00
1425,2023-08-13,花蓮縣,30-49歲,91.90,87.50,2.00,75.10,17.50,0.00,0.00,0.00
1426,2023-08-13,花蓮縣,50-64歲,88.30,84.60,2.00,73.60,23.10,0.00,0.00,0.00
1427,2023-08-13,花蓮縣,65-74歲,87.70,84.90,1.80,75.40,35.00,9.30,0.00,0.00
1428,2023-08-13,花蓮縣,75歲以上,79.30,74.90,1.90,64.80,33.10,9.10,0.00,0.00
1675,2023-08-06,花蓮縣,全區,87.80,82.90,1.80,69.10,20.20,0.00,0.00,0.00
1676,2023-08-06,花蓮縣,6個月-4歲,33.40,18.00,3.30,0.50,0.00,0.00,0.00,0.00
1677,2023-08-06,花蓮縣,5-11歲,84.00,70.40,0.20,33.60,0.20,0.00,0.00,0.00
1678,2023-08-06,花蓮縣,12-17歲,95.00,90.00,0.10,71.00,24.70,0.00,0.00,0.00
1679,2023-08-06,花蓮縣,18-29歲,95.60,91.10,1.70,75.80,13.40,0.00,0.00,0.00
1680,2023-08-06,花蓮縣,30-49歲,91.90,87.50,2.00,75.10,17.50,0.00,0.00,0.00
1681,2023-08-06,花蓮縣,50-64歲,88.40,84.60,2.00,73.60,23.10,0.00,0.00,0.00
1682,2023-08-06,花蓮縣,65-74歲,87.60,84.80,1.80,75.30,34.90,9.30,0.00,0.00
1683,2023-08-06,花蓮縣,75歲以上,79.30,74.90,1.90,64.80,33.10,9.00,0.00,0.00
1930,2023-07-30,花蓮縣,全區,87.90,82.90,1.80,69.10,20.20,0.00,0.00,0.00
1931,2023-07-30,花蓮縣,6個月-4歲,33.80,18.10,3.30,0.50,0.00,0.00,0.00,0.00
1932,2023-07-30,花蓮縣,5-11歲,84.00,70.50,0.20,33.70,0.20,0.00,0.00,0.00
1933,2023-07-30,花蓮縣,12-17歲,95.00,90.10,0.10,71.00,24.70,0.00,0.00,0.00
1934,2023-07-30,花蓮縣,18-29歲,95.70,91.20,1.70,75.90,13.40,0.00,0.00,0.00
1935,2023-07-30,花蓮縣,30-49歲,91.90,87.50,2.00,75.10,17.50,0.00,0.00,0.00
1936,2023-07-30,花蓮縣,50-64歲,88.40,84.60,2.00,73.60,23.10,0.00,0.00,0.00
1937,2023-07-30,花蓮縣,65-74歲,87.50,84.60,1.80,75.20,34.90,9.30,0.00,0.00
1938,2023-07-30,花蓮縣,75歲以上,79.30,74.90,1.90,64.70,33.00,9.00,0.00,0.00
2185,2023-07-23,花蓮縣,全區,87.90,82.90,1.70,69.10,20.20,0.00,0.00,0.00
2186,2023-07-23,花蓮縣,6個月-4歲,33.90,18.20,3.30,0.50,0.00,0.00,0.00,0.00
