UID,最後統計日期,縣市,鄉鎮,年齡層,累計確診人數
2014,2023-07-24,基隆市,中山區,30-34,1853
2015,2023-06-14,基隆市,中山區,50-54,1682
2016,2023-06-14,基隆市,中山區,60-64,1340
2017,2023-03-19,基隆市,中山區,40-44,1830
2018,2023-03-19,基隆市,中山區,25-29,1978
2019,2023-03-19,基隆市,中山區,35-39,1584
2020,2023-03-19,基隆市,中山區,65-69,1094
2021,2023-03-19,基隆市,中山區,5-9,1041
2022,2023-03-19,基隆市,中山區,15-19,1201
2023,2023-03-19,基隆市,中山區,20-24,1602
2024,2023-03-19,基隆市,中山區,55-59,1535
2025,2023-03-18,基隆市,中山區,45-49,1751
2026,2023-03-18,基隆市,中山區,4,170
2027,2023-03-18,基隆市,中山區,70+,1705
2028,2023-03-18,基隆市,中山區,1,160
2029,2023-03-15,基隆市,中山區,10-14,935
2030,2023-03-15,基隆市,中山區,0,98
2031,2023-03-06,基隆市,中山區,2,157
2032,2023-03-05,基隆市,中山區,3,175
