UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
127,2023-09-17,嘉義市,全區,89.70,85.40,1.60,73.40,22.40,0.00,0.00,0.00
128,2023-09-17,嘉義市,6個月-4歲,43.50,27.80,4.50,0.60,0.00,0.00,0.00,0.00
129,2023-09-17,嘉義市,5-11歲,83.20,64.90,0.50,28.20,0.30,0.00,0.00,0.00
130,2023-09-17,嘉義市,12-17歲,94.30,86.10,0.20,63.30,4.90,0.00,0.00,0.00
131,2023-09-17,嘉義市,18-29歲,95.60,93.00,1.20,81.50,13.00,0.00,0.00,0.00
132,2023-09-17,嘉義市,30-49歲,93.40,90.80,1.40,81.80,20.10,0.00,0.00,0.00
133,2023-09-17,嘉義市,50-64歲,90.50,88.10,1.90,80.10,28.90,0.00,0.00,0.00
134,2023-09-17,嘉義市,65-74歲,89.30,87.20,2.10,80.30,44.00,13.80,0.00,0.00
135,2023-09-17,嘉義市,75歲以上,84.10,80.70,2.10,72.50,43.30,13.80,0.00,0.00
382,2023-09-10,嘉義市,全區,89.70,85.40,1.60,73.40,22.40,0.00,0.00,0.00
383,2023-09-10,嘉義市,6個月-4歲,43.70,28.00,4.60,0.60,0.00,0.00,0.00,0.00
384,2023-09-10,嘉義市,5-11歲,83.30,65.10,0.40,28.30,0.30,0.00,0.00,0.00
385,2023-09-10,嘉義市,12-17歲,94.30,86.20,0.10,63.40,4.90,0.00,0.00,0.00
386,2023-09-10,嘉義市,18-29歲,95.70,93.00,1.20,81.60,13.00,0.00,0.00,0.00
387,2023-09-10,嘉義市,30-49歲,93.40,90.80,1.40,81.90,20.10,0.00,0.00,0.00
388,2023-09-10,嘉義市,50-64歲,90.50,88.10,1.90,80.10,28.90,0.00,0.00,0.00
389,2023-09-10,嘉義市,65-74歲,89.20,87.10,2.10,80.20,44.00,13.80,0.00,0.00
390,2023-09-10,嘉義市,75歲以上,84.00,80.60,2.10,72.40,43.30,13.80,0.00,0.00
637,2023-09-03,嘉義市,全區,89.80,85.50,1.60,73.50,22.40,0.00,0.00,0.00
638,2023-09-03,嘉義市,6個月-4歲,43.90,28.00,4.60,0.60,0.00,0.00,0.00,0.00
639,2023-09-03,嘉義市,5-11歲,83.50,65.30,0.40,28.40,0.30,0.00,0.00,0.00
640,2023-09-03,嘉義市,12-17歲,94.40,86.30,0.10,63.60,4.90,0.00,0.00,0.00
641,2023-09-03,嘉義市,18-29歲,95.80,93.10,1.20,81.60,13.00,0.00,0.00,0.00
642,2023-09-03,嘉義市,30-49歲,93.40,90.80,1.40,81.90,20.10,0.00,0.00,0.00
643,2023-09-03,嘉義市,50-64歲,90.50,88.20,1.90,80.10,28.90,0.00,0.00,0.00
644,2023-09-03,嘉義市,65-74歲,89.20,87.00,2.10,80.10,44.00,13.80,0.00,0.00
645,2023-09-03,嘉義市,75歲以上,83.90,80.50,2.10,72.30,43.20,13.70,0.00,0.00
892,2023-08-27,嘉義市,全區,89.80,85.50,1.60,73.50,22.40,0.00,0.00,0.00
893,2023-08-27,嘉義市,6個月-4歲,44.00,28.00,4.60,0.50,0.00,0.00,0.00,0.00
894,2023-08-27,嘉義市,5-11歲,83.60,65.40,0.40,28.40,0.30,0.00,0.00,0.00
895,2023-08-27,嘉義市,12-17歲,94.30,86.30,0.10,63.70,4.90,0.00,0.00,0.00
896,2023-08-27,嘉義市,18-29歲,95.90,93.20,1.20,81.80,13.00,0.00,0.00,0.00
897,2023-08-27,嘉義市,30-49歲,93.40,90.80,1.30,81.90,20.10,0.00,0.00,0.00
898,2023-08-27,嘉義市,50-64歲,90.50,88.10,1.90,80.10,29.00,0.00,0.00,0.00
899,2023-08-27,嘉義市,65-74歲,89.10,87.00,2.10,80.10,44.00,13.80,0.00,0.00
900,2023-08-27,嘉義市,75歲以上,83.80,80.40,2.10,72.20,43.10,13.70,0.00,0.00
1147,2023-08-20,嘉義市,全區,89.80,85.50,1.60,73.50,22.40,0.00,0.00,0.00
1148,2023-08-20,嘉義市,6個月-4歲,43.80,27.90,4.60,0.50,0.00,0.00,0.00,0.00
1149,2023-08-20,嘉義市,5-11歲,83.80,65.60,0.40,28.50,0.30,0.00,0.00,0.00
1150,2023-08-20,嘉義市,12-17歲,94.70,86.80,0.10,64.10,5.00,0.00,0.00,0.00
1151,2023-08-20,嘉義市,18-29歲,95.60,93.00,1.20,81.60,13.00,0.00,0.00,0.00
1152,2023-08-20,嘉義市,30-49歲,93.50,90.90,1.30,82.00,20.10,0.00,0.00,0.00
1153,2023-08-20,嘉義市,50-64歲,90.50,88.10,1.90,80.00,29.00,0.00,0.00,0.00
1154,2023-08-20,嘉義市,65-74歲,89.40,87.20,2.10,80.30,44.10,13.80,0.00,0.00
1155,2023-08-20,嘉義市,75歲以上,83.80,80.30,2.10,72.20,43.00,13.70,0.00,0.00
1402,2023-08-13,嘉義市,全區,89.80,85.50,1.60,73.50,22.40,0.00,0.00,0.00
1403,2023-08-13,嘉義市,6個月-4歲,44.00,28.00,4.60,0.60,0.00,0.00,0.00,0.00
1404,2023-08-13,嘉義市,5-11歲,83.90,65.70,0.40,28.70,0.30,0.00,0.00,0.00
1405,2023-08-13,嘉義市,12-17歲,94.70,86.80,0.20,64.20,5.00,0.00,0.00,0.00
1406,2023-08-13,嘉義市,18-29歲,95.70,93.10,1.20,81.60,13.00,0.00,0.00,0.00
1407,2023-08-13,嘉義市,30-49歲,93.50,90.90,1.40,82.00,20.20,0.00,0.00,0.00
1408,2023-08-13,嘉義市,50-64歲,90.40,88.10,1.90,80.00,29.00,0.00,0.00,0.00
1409,2023-08-13,嘉義市,65-74歲,89.30,87.10,2.10,80.20,44.10,13.80,0.00,0.00
1410,2023-08-13,嘉義市,75歲以上,83.70,80.30,2.10,72.10,43.00,13.70,0.00,0.00
1657,2023-08-06,嘉義市,全區,89.90,85.60,1.60,73.50,22.50,0.00,0.00,0.00
1658,2023-08-06,嘉義市,6個月-4歲,44.30,28.20,4.50,0.60,0.00,0.00,0.00,0.00
1659,2023-08-06,嘉義市,5-11歲,84.10,65.80,0.40,28.70,0.30,0.00,0.00,0.00
1660,2023-08-06,嘉義市,12-17歲,94.90,87.00,0.20,64.40,5.10,0.00,0.00,0.00
1661,2023-08-06,嘉義市,18-29歲,95.80,93.10,1.20,81.70,13.00,0.00,0.00,0.00
1662,2023-08-06,嘉義市,30-49歲,93.60,91.00,1.30,82.00,20.20,0.00,0.00,0.00
1663,2023-08-06,嘉義市,50-64歲,90.40,88.10,1.90,80.00,29.00,0.00,0.00,0.00
1664,2023-08-06,嘉義市,65-74歲,89.20,87.10,2.10,80.20,44.10,13.80,0.00,0.00
1665,2023-08-06,嘉義市,75歲以上,83.70,80.30,2.10,72.10,43.00,13.60,0.00,0.00
1912,2023-07-30,嘉義市,全區,89.90,85.60,1.60,73.50,22.50,0.00,0.00,0.00
1913,2023-07-30,嘉義市,6個月-4歲,44.50,28.30,4.50,0.50,0.00,0.00,0.00,0.00
