UID,發佈統計日期,縣市,年齡層,第1劑接種率,第2劑接種率,基礎加強劑接種率,第1次追加劑接種率,第2次追加劑接種率,第3次追加劑接種率,第4次追加劑接種率,第5次追加劑接種率
55,2023-09-17,新竹縣,全區,88.70,83.70,0.60,70.90,20.00,0.00,0.00,0.00
56,2023-09-17,新竹縣,6個月-4歲,43.20,27.60,4.50,1.00,0.00,0.00,0.00,0.00
57,2023-09-17,新竹縣,5-11歲,82.00,64.70,0.50,27.20,2.40,0.00,0.00,0.00
58,2023-09-17,新竹縣,12-17歲,93.60,86.70,0.10,67.90,20.50,0.00,0.00,0.00
59,2023-09-17,新竹縣,18-29歲,94.90,91.30,0.20,77.90,11.10,0.00,0.00,0.00
60,2023-09-17,新竹縣,30-49歲,94.10,91.00,0.30,82.50,19.30,0.00,0.00,0.00
61,2023-09-17,新竹縣,50-64歲,89.90,87.20,0.50,78.90,25.60,0.00,0.00,0.00
62,2023-09-17,新竹縣,65-74歲,89.50,87.00,0.80,80.00,41.20,10.30,0.00,0.00
63,2023-09-17,新竹縣,75歲以上,79.00,74.90,0.80,65.10,36.20,8.30,0.00,0.00
310,2023-09-10,新竹縣,全區,88.70,83.70,0.60,70.90,20.00,0.00,0.00,0.00
311,2023-09-10,新竹縣,6個月-4歲,43.40,27.70,4.50,1.00,0.00,0.00,0.00,0.00
312,2023-09-10,新竹縣,5-11歲,82.00,64.80,0.50,27.30,2.40,0.00,0.00,0.00
313,2023-09-10,新竹縣,12-17歲,93.60,86.80,0.10,68.00,20.60,0.00,0.00,0.00
314,2023-09-10,新竹縣,18-29歲,95.00,91.40,0.20,78.00,11.10,0.00,0.00,0.00
315,2023-09-10,新竹縣,30-49歲,94.10,91.00,0.30,82.50,19.30,0.00,0.00,0.00
316,2023-09-10,新竹縣,50-64歲,89.90,87.20,0.50,78.90,25.60,0.00,0.00,0.00
317,2023-09-10,新竹縣,65-74歲,89.40,86.90,0.80,79.90,41.20,10.30,0.00,0.00
318,2023-09-10,新竹縣,75歲以上,79.00,74.90,0.80,65.10,36.20,8.20,0.00,0.00
565,2023-09-03,新竹縣,全區,88.70,83.70,0.60,70.90,20.00,0.00,0.00,0.00
566,2023-09-03,新竹縣,6個月-4歲,43.60,27.80,4.50,1.00,0.00,0.00,0.00,0.00
567,2023-09-03,新竹縣,5-11歲,82.20,64.90,0.40,27.40,2.50,0.00,0.00,0.00
